PersoonID	Naam	Voornamen	Tussenvoegsels	Achternaam	LP_PersoonURL	LP_PersoonArchiefURL	ArchiefURLStatusCheck-17122019		Geboortedatum	Geboorteplaats	Sterfdatum	Sterfplaats
156	Willem Elsschot	Willem		Elsschot	https://www.literatuurplein.nl/persdetail?persId=156	http://web.archive.org/web/20191203190405/https://www.literatuurplein.nl/persdetail?persId=156	200	Klik	07-05-1882	Antwerpen	31-05-1960	Antwerpen
157	B.W. Van Wijckmade	B.W.	van	Wijckmade	https://www.literatuurplein.nl/persdetail?persId=157	http://web.archive.org/web/20191203190422/https://www.literatuurplein.nl/persdetail?persId=157	200	Klik	22-01-1922	Eindhoven	02-10-1988	Helmond
165	Albert Alberts	Albert		Alberts	https://www.literatuurplein.nl/persdetail?persId=165	http://web.archive.org/web/20191203190438/https://www.literatuurplein.nl/persdetail?persId=165	200	Klik	23-08-1911	Haarlem	16-12-1995	Amsterdam
167	M. Sickesz	M.		Sickesz	https://www.literatuurplein.nl/persdetail?persId=167	http://web.archive.org/web/20191203190454/https://www.literatuurplein.nl/persdetail?persId=167	200	Klik	08-01-1923	Amsterdam	21-04-2015	Den Haag
170	Anke De Vries	Anke	de	Vries	https://www.literatuurplein.nl/persdetail?persId=170	http://web.archive.org/web/20191203190510/https://www.literatuurplein.nl/persdetail?persId=170	200	Klik	05-12-1936			
172	B.K.S. Iyengar	B.K.S.		Iyengar	https://www.literatuurplein.nl/persdetail?persId=172	http://web.archive.org/web/20191203190526/https://www.literatuurplein.nl/persdetail?persId=172	200	Klik	14-12-1918	Bellur	20-08-2014	Poona
174	Ine Ten Broeke-Bruins	Ine	ten 	Broeke-Bruins	https://www.literatuurplein.nl/detail/persoon/ine-ten-broeke-bruins/174	http://web.archive.org/web/20191129134917/https://www.literatuurplein.nl/detail/persoon/ine-ten-broeke-bruins/174	200	Klik				
182	Hella S. Haasse	Hella S.		Haasse	https://www.literatuurplein.nl/persdetail?persId=182	http://web.archive.org/web/20191203190543/https://www.literatuurplein.nl/persdetail?persId=182	200	Klik	02-02-1918	Batavia	29-09-2011	Amsterdam
187	Judith Herzberg	Judith		Herzberg	https://www.literatuurplein.nl/persdetail?persId=187	http://web.archive.org/web/20191203190600/https://www.literatuurplein.nl/persdetail?persId=187	200	Klik	04-11-1934	Amsterdam		
213	Jaap Zijlstra	Jaap		Zijlstra	https://www.literatuurplein.nl/persdetail?persId=213	http://web.archive.org/web/20191203190616/https://www.literatuurplein.nl/persdetail?persId=213	200	Klik	05-09-1933	Wassenaar	22-12-2015	Amsterdam
217	Arthur Van Norden	Arthur	van	Norden	https://www.literatuurplein.nl/persdetail?persId=217	http://web.archive.org/web/20191203190633/https://www.literatuurplein.nl/persdetail?persId=217	200	Klik	18-05-1947	Amsterdam		
221	Friedrich Nietzsche	Friedrich		Nietzsche	https://www.literatuurplein.nl/persdetail?persId=221	http://web.archive.org/web/20191203190650/https://www.literatuurplein.nl/persdetail?persId=221	200	Klik	15-10-1844	Röcken	25-08-1900	Weimar
231	Tibor Gergely	Tibor		Gergely	https://www.literatuurplein.nl/persdetail?persId=231	http://web.archive.org/web/20191203190707/https://www.literatuurplein.nl/persdetail?persId=231	200	Klik	03-08-1900	Boedapest	13-01-1978	New York City
235	Marga Minco	Marga		Minco	https://www.literatuurplein.nl/persdetail?persId=235	http://web.archive.org/web/20191203190723/https://www.literatuurplein.nl/persdetail?persId=235	200	Klik	31-03-1920	Ginneken		
246	John Irving	John		Irving	https://www.literatuurplein.nl/persdetail?persId=246	http://web.archive.org/web/20191203190739/https://www.literatuurplein.nl/persdetail?persId=246	200	Klik	02-03-1942	Exeter		
252	Tine Van Buul	Tine	van	Buul	https://www.literatuurplein.nl/persdetail?persId=252	http://web.archive.org/web/20191203190756/https://www.literatuurplein.nl/persdetail?persId=252	200	Klik	26-02-1919	Rotterdam	26-01-2009	Amstelveen
258	Vic Van De Reijt	Vic	van de	Reijt	https://www.literatuurplein.nl/persdetail?persId=258	http://web.archive.org/web/20191203190812/https://www.literatuurplein.nl/persdetail?persId=258	200	Klik	31-07-1950	Breda		
261	Midas Dekkers	Midas		Dekkers	https://www.literatuurplein.nl/persdetail?persId=261	http://web.archive.org/web/20191203190829/https://www.literatuurplein.nl/persdetail?persId=261	200	Klik	22-04-1946	Haarlem		
280	Chaim Potok	Chaim		Potok	https://www.literatuurplein.nl/persdetail?persId=280	http://web.archive.org/web/20191203190847/https://www.literatuurplein.nl/persdetail?persId=280	200	Klik	17-02-1929	New York City	23-07-2002	Philadelphia
