BoekID	LiteratuurpleinURL	LiteratuurpleinArchiefURL	ArchiefURLStatusCheck-07122019	
9725	https://www.literatuurplein.nl/boekdetail.jsp?boekId=9725	http://web.archive.org/web/20191128063301/https://www.literatuurplein.nl/boekdetail?boekId=9725	200	Klik
9748	https://www.literatuurplein.nl/boekdetail.jsp?boekId=9748	http://web.archive.org/web/20191128063517/https://www.literatuurplein.nl/boekdetail?boekId=9748	200	Klik
9876	https://www.literatuurplein.nl/boekdetail.jsp?boekId=9876	http://web.archive.org/web/20191128065527/https://www.literatuurplein.nl/boekdetail?boekId=9876	200	Klik
10064	https://www.literatuurplein.nl/boekdetail.jsp?boekId=10064	http://web.archive.org/web/20191125120105/https://www.literatuurplein.nl/boekdetail?boekId=10064	200	Klik
10064	https://www.literatuurplein.nl/detail/boek/ik-heb-twee-beren/10064	http://web.archive.org/web/20191128135930/https://www.literatuurplein.nl/detail/boek/ik-heb-twee-beren/10064	200	Klik
10081	https://www.literatuurplein.nl/boekdetail.jsp?boekId=10081	http://web.archive.org/web/20191125120850/https://www.literatuurplein.nl/boekdetail?boekId=10081	200	Klik
10258	https://www.literatuurplein.nl/boekdetail.jsp?boekId=10258	http://web.archive.org/web/20191125135849/https://www.literatuurplein.nl/boekdetail?boekId=10258	200	Klik
10595	https://www.literatuurplein.nl/boekdetail.jsp?boekId=10595	http://web.archive.org/web/20191125162139/https://www.literatuurplein.nl/boekdetail?boekId=10595	200	Klik
10595	https://www.literatuurplein.nl/detail/boek/enkele-reis/10595	http://web.archive.org/web/20191128131341/https://www.literatuurplein.nl/detail/boek/enkele-reis/10595	200	Klik
10619	https://www.literatuurplein.nl/boekdetail.jsp?boekId=10619	http://web.archive.org/web/20191125162630/https://www.literatuurplein.nl/boekdetail?boekId=10619	200	Klik
