LiteratuurpleinURL	LiteratuurpleinArchiefURL	ArchiefURLStatusCheck-07122019	
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Esoterie	http://web.archive.org/web/20191130194550/https://www.literatuurplein.nl/trefwoord?trefwoord=Esoterie	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Familienamen	http://web.archive.org/web/20191130194558/https://www.literatuurplein.nl/trefwoord?trefwoord=Familienamen	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Fibromyalgie	http://web.archive.org/web/20191130194605/https://www.literatuurplein.nl/trefwoord?trefwoord=Fibromyalgie	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Figuurzagen	http://web.archive.org/web/20191130194612/https://www.literatuurplein.nl/trefwoord?trefwoord=Figuurzagen	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Fimo	http://web.archive.org/web/20191130194619/https://www.literatuurplein.nl/trefwoord?trefwoord=Fimo	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Franse Revolutie	http://web.archive.org/web/20191130194627/https://www.literatuurplein.nl/trefwoord?trefwoord=Franse%20Revolutie	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Gebakrecepten	http://web.archive.org/web/20191130194637/https://www.literatuurplein.nl/trefwoord?trefwoord=Gebakrecepten	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Gedwongen huwelijk	http://web.archive.org/web/20191130194643/https://www.literatuurplein.nl/trefwoord?trefwoord=Gedwongen%20huwelijk	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Geestelijke mishandeling	http://web.archive.org/web/20191130194651/https://www.literatuurplein.nl/trefwoord?trefwoord=Geestelijke%20mishandeling	200	Klik
https://www.literatuurplein.nl/trefwoord.jsp?trefwoord=Geheimschrift	http://web.archive.org/web/20191130194657/https://www.literatuurplein.nl/trefwoord?trefwoord=Geheimschrift	200	Klik
